                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.37671,                0.31528,                0.91027,                0.93516,                0.89024,                0.95075,                0.88072,                 0.4245,                0.40693,                0.86673,              0.0004952,              0.0004952,              0.0004952
                     78,                 0.3723,                0.31992,                0.91109,                0.91477,                0.91625,                0.95891,                0.88453,                0.40225,                0.37149,                0.85248,              0.0004754,              0.0004754,              0.0004754
                     79,                0.37316,                0.31654,                0.91027,                0.91538,                0.91463,                0.96382,                0.89043,                0.41427,                0.37407,                0.87218,              0.0004556,              0.0004556,              0.0004556
                     80,                0.36878,                0.31467,                0.91277,                0.93573,                0.88776,                 0.9591,                0.89195,                0.40108,                0.37357,                 0.8603,              0.0004358,              0.0004358,              0.0004358
                     81,                0.35544,                0.30592,                0.90466,                0.90681,                0.92683,                0.95608,                0.88149,                0.42765,                0.38937,                0.87729,               0.000416,               0.000416,               0.000416
                     82,                 0.3667,                0.30827,                0.90789,                 0.9483,                0.89472,                0.96067,                0.89579,                0.39899,                0.37792,                  0.871,              0.0003962,              0.0003962,              0.0003962
                     83,                0.36907,                0.31491,                0.90844,                0.92974,                0.90244,                0.95953,                0.89294,                0.38901,                 0.3609,                0.86037,              0.0003764,              0.0003764,              0.0003764
                     84,                0.36277,                0.30853,                0.90679,                0.93689,                0.90519,                0.96736,                0.89661,                0.39518,                0.35631,                0.86094,              0.0003566,              0.0003566,              0.0003566
                     85,                0.36551,                0.31024,                 0.9093,                0.93616,                0.89417,                0.97095,                0.90023,                0.40147,                0.34083,                0.86357,              0.0003368,              0.0003368,              0.0003368
                     86,                0.34804,                0.29431,                0.89928,                0.94256,                0.90054,                0.96214,                0.89726,                0.38054,                0.36026,                0.85332,               0.000317,               0.000317,               0.000317
